period,dataset,count,sd,period_total,target,capped,share,raw_quota,quota,stratum_rate,stratum_weight,realized_rate,period_weight
2026-06,anti_vaccine,1808,29423.027743163733,5261,526,False,0.3436609009693974,180.76563390990304,181,0.1001106194690265,9.988950276243092,0.0999809922068047,10.001901140684412
2026-06,journalists,2274,27330.221011261136,5261,526,False,0.4322372172590762,227.35677627827408,227,0.0998240985048373,10.017621145374449,0.0999809922068047,10.001901140684412
2026-06,politicians,877,12721.73025056008,5261,526,False,0.166698346321992,87.68333016536779,88,0.1003420752565564,9.96590909090909,0.0999809922068047,10.001901140684412
2026-06,pro_vaccine,302,13823.670518242803,5261,526,False,0.0574035354495343,30.19425964645505,30,0.0993377483443708,10.066666666666666,0.0999809922068047,10.001901140684412
2026-07,anti_vaccine,1687,87678.631586851,5602,560,False,0.3011424491253124,168.63977151017494,169,0.1001778304682869,9.982248520710058,0.0999642984648339,10.003571428571428
2026-07,journalists,2623,26729.08034296728,5602,560,False,0.4682256337022492,262.2063548732596,262,0.099885627144491,10.01145038167939,0.0999642984648339,10.003571428571428
2026-07,politicians,1018,108552.60478838353,5602,560,False,0.1817208139950017,101.763655837201,102,0.1001964636542239,9.980392156862743,0.0999642984648339,10.003571428571428
2026-07,pro_vaccine,274,16238.4804373247,5602,560,False,0.0489111031774366,27.390217779364512,27,0.0985401459854014,10.148148148148149,0.0999642984648339,10.003571428571428
2026-08,anti_vaccine,3260,21055.542174989598,11974,1197,False,0.2722565558710539,325.8910973776516,326,0.1,10.0,0.0999665942876231,10.003341687552217
2026-08,journalists,5983,18113.317798118034,11974,1197,False,0.4996659428762318,598.1001336228495,598,0.0999498579308039,10.005016722408026,0.0999665942876231,10.003341687552217
2026-08,politicians,2058,18139.351471450944,11974,1197,False,0.1718723901787205,205.7312510439285,206,0.1000971817298348,9.99029126213592,0.0999665942876231,10.003341687552217
2026-08,pro_vaccine,673,13178.47900247764,11974,1197,False,0.0562051110739936,67.2775179555704,67,0.0995542347696879,10.044776119402986,0.0999665942876231,10.003341687552217
