scope,n,mean_weight,min_weight,max_weight,cv_squared,design_effect,effective_n
overall,8126,10.000492247108047,1.0,45.69047619047619,3.0476614382822067,4.047661438282207,2007.578974650757
2025-08,6,9.0,1.3333333333333333,30.0,1.5341563786008234,2.5341563786008234,2.367651835011367
2025-09,1138,9.999121265377855,1.0270833333333331,45.69047619047619,3.1426833751166354,4.142683375116635,274.70117722138497
2025-10,678,9.992625368731565,1.0,45.08571428571428,3.0497788215980286,4.049778821598029,167.41655035186923
2025-11,604,10.001655629139073,1.0,45.16666666666667,2.890935358466009,3.890935358466009,155.2325968833688
2025-12,631,10.001584786053884,1.0172413793103448,45.37288135593221,3.0978719115216538,4.097871911521654,153.98236294938073
2026-01,483,10.008281573498964,1.005952380952381,45.11627906976744,3.0931164105479,4.0931164105479,118.00299614135484
2026-02,546,10.007326007326007,1.0829694323144106,45.206896551724135,3.0682135064746263,4.068213506474626,134.2112450910043
2026-03,541,10.0,1.092783505154639,45.16326530612245,3.06384609243436,4.06384609243436,133.1251203157464
2026-04,628,9.996815286624203,1.004310344827586,45.32203389830508,3.076540791934073,4.0765407919340735,154.05218101645727
2026-05,588,10.001700680272108,1.0540540540540542,45.51785714285714,3.1014366859267417,4.101436685926742,143.364397655486
2026-06,526,10.00190114068441,1.0,45.16666666666667,3.050271453650151,4.050271453650151,129.8678387410214
2026-07,560,10.003571428571428,1.0669856459330145,45.283018867924525,3.0718837310580653,4.071883731058065,137.52848484563333
2026-08,1197,10.003341687552211,1.0,44.785714285714285,2.954773063324512,3.954773063324512,302.6722344957418
