dataset,measure,scope,n,nonzero_pct,total,mean,sd,max,p50,p75,p90,p95,p99,p99.9
politicians,x_engagement,nonzero,4907,34.632,47258208.7,9630.774138985123,81100.73425168014,3376743.7,412.3,3195.6000000000004,12851.480000000029,30256.67999999997,151111.73599999826,934516.9734000268
politicians,linkedin_engagement,all,14169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
politicians,linkedin_engagement,nonzero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
politicians,content_engagement,all,14169,34.752,47290133.7,3337.577366080881,47943.63495160898,3376743.7,0.0,32.8,2384.400000000002,7930.639999999955,56527.732,487604.7456000114
politicians,content_engagement,nonzero,4924,34.752,47290133.7,9604.00765637693,80962.76382125582,3376743.7,407.2000000000001,3189.7250000000004,12817.709999999992,30139.804999999968,150373.18799999793,934043.4197000064
politicians,source_engagement,all,14169,18.456,1697875.0,119.8302632507587,1756.897316184086,95997.0,0.0,0.0,6.0,46.0,1700.839999999982,30403.240000002574
politicians,source_engagement,nonzero,2615,18.456,1697875.0,649.282982791587,4047.974244361216,95997.0,8.0,59.0,510.19999999999663,1966.799999999996,19028.66000000019,48363.88800000351
journalists,facebook_engagement,all,38744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journalists,facebook_engagement,nonzero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journalists,pinterest_engagement,all,38744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journalists,pinterest_engagement,nonzero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journalists,youtube_engagement,all,38744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journalists,youtube_engagement,nonzero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journalists,instagram_engagement,all,38744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journalists,instagram_engagement,nonzero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journalists,x_engagement,all,38744,34.269,73689717.80000001,1901.964634524056,22644.445561097506,1082169.3,0.0,16.8,1176.4800000000016,4282.169999999988,32576.09999999996,240703.78180000125
journalists,x_engagement,nonzero,13277,34.269,73689717.80000001,5550.178338480079,38420.77627348777,1082169.3,178.3,1641.2,7669.819999999998,18318.219999999943,85486.2159999999,704583.7008000164
journalists,linkedin_engagement,all,38744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journalists,linkedin_engagement,nonzero,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journalists,content_engagement,all,38744,34.269,73689717.80000001,1901.964634524056,22644.445561097506,1082169.3,0.0,16.8,1176.4800000000016,4282.169999999988,32576.09999999996,240703.78180000125
journalists,content_engagement,nonzero,13277,34.269,73689717.80000001,5550.178338480079,38420.77627348777,1082169.3,178.3,1641.2,7669.819999999998,18318.219999999943,85486.2159999999,704583.7008000164
journalists,source_engagement,all,38744,29.426,5191098.0,133.98456535205452,1627.2129511386186,123529.0,0.0,1.0,32.0,177.84999999999854,2543.0,19964.766000000192
journalists,source_engagement,nonzero,11401,29.426,5191098.0,455.3195333742654,2975.285420260092,123529.0,10.0,71.0,497.0,1505.0,10349.0,37090.60000000043
