selection_phase,n,mean_weight,min_weight,max_weight,design_effect,effective_n
priority,6454,1.125968391695073,1.0,1.3333333333333333,1.0087020409122174,6398.321544153257
remainder,1672,44.25657894736842,9.0,45.69047619047619,1.0018457761004054,1668.9195481844615
